grupo,jornada,kickoff,local,visitante,goles_local,goles_visitante
a,1,2026-06-11T14:00:00-05:00,MEX,RSA,2,0
a,1,2026-06-11T21:00:00-05:00,KOR,CZE,2,1
b,1,2026-06-12T14:00:00-05:00,CAN,BIH,1,1
d,1,2026-06-12T20:00:00-05:00,USA,PAR,4,1
b,1,2026-06-13T14:00:00-05:00,QAT,SUI,1,1
c,1,2026-06-13T17:00:00-05:00,BRA,MAR,1,1
c,1,2026-06-13T20:00:00-05:00,SCO,HAI,1,0
d,1,2026-06-13T23:00:00-05:00,AUS,TUR,2,0
e,1,2026-06-14T12:00:00-05:00,GER,CUW,7,1
f,1,2026-06-14T15:00:00-05:00,NED,JPN,2,2
e,1,2026-06-14T18:00:00-05:00,CIV,ECU,1,0
f,1,2026-06-14T21:00:00-05:00,SWE,TUN,5,1
h,1,2026-06-15T11:00:00-05:00,ESP,CPV,0,0
g,1,2026-06-15T14:00:00-05:00,BEL,EGY,1,1
h,1,2026-06-15T17:00:00-05:00,KSA,URU,1,1
g,1,2026-06-15T20:00:00-05:00,IRN,NZL,2,2
i,1,2026-06-16T14:00:00-05:00,FRA,SEN,3,1
i,1,2026-06-16T17:00:00-05:00,NOR,IRQ,4,1
j,1,2026-06-16T20:00:00-05:00,ARG,ALG,3,0
j,1,2026-06-16T23:00:00-05:00,AUT,JOR,3,1
k,1,2026-06-17T12:00:00-05:00,POR,COD,1,1
l,1,2026-06-17T15:00:00-05:00,ENG,CRO,4,2
l,1,2026-06-17T18:00:00-05:00,GHA,PAN,1,0
k,1,2026-06-17T21:00:00-05:00,COL,UZB,3,1
a,2,2026-06-18T11:00:00-05:00,CZE,RSA,1,1
b,2,2026-06-18T14:00:00-05:00,SUI,BIH,4,1
b,2,2026-06-18T17:00:00-05:00,CAN,QAT,6,0
a,2,2026-06-18T20:00:00-05:00,MEX,KOR,1,0
d,2,2026-06-19T14:00:00-05:00,USA,AUS,2,0
c,2,2026-06-19T17:00:00-05:00,MAR,SCO,1,0
c,2,2026-06-19T20:00:00-05:00,BRA,HAI,3,0
d,2,2026-06-19T22:00:00-05:00,PAR,TUR,1,0
f,2,2026-06-20T12:00:00-05:00,NED,SWE,5,1
e,2,2026-06-20T15:00:00-05:00,GER,CIV,2,1
e,2,2026-06-20T19:00:00-05:00,ECU,CUW,0,0
f,2,2026-06-20T23:00:00-05:00,TUN,JPN,0,4
h,2,2026-06-21T11:00:00-05:00,ESP,KSA,4,0
g,2,2026-06-21T14:00:00-05:00,BEL,IRN,0,0
h,2,2026-06-21T17:00:00-05:00,URU,CPV,2,2
g,2,2026-06-21T20:00:00-05:00,EGY,NZL,3,1
j,2,2026-06-22T12:00:00-05:00,ARG,AUT,1,0
i,2,2026-06-22T16:00:00-05:00,FRA,IRQ,3,0
i,2,2026-06-22T19:00:00-05:00,NOR,SEN,3,2
j,2,2026-06-22T22:00:00-05:00,JOR,ALG,1,2
k,2,2026-06-23T12:00:00-05:00,POR,UZB,5,0
l,2,2026-06-23T15:00:00-05:00,ENG,GHA,0,0
l,2,2026-06-23T18:00:00-05:00,CRO,PAN,1,0
k,2,2026-06-23T21:00:00-05:00,COL,COD,1,0
b,3,2026-06-24T14:00:00-05:00,BIH,QAT,3,1
b,3,2026-06-24T14:00:00-05:00,SUI,CAN,2,1
c,3,2026-06-24T17:00:00-05:00,SCO,BRA,0,3
c,3,2026-06-24T17:00:00-05:00,MAR,HAI,4,2
a,3,2026-06-24T20:00:00-05:00,CZE,MEX,0,3
a,3,2026-06-24T20:00:00-05:00,RSA,KOR,1,0
e,3,2026-06-25T15:00:00-05:00,CUW,CIV,0,2
e,3,2026-06-25T15:00:00-05:00,ECU,GER,2,1
f,3,2026-06-25T18:00:00-05:00,JPN,SWE,1,1
f,3,2026-06-25T18:00:00-05:00,TUN,NED,1,3
d,3,2026-06-25T21:00:00-05:00,PAR,AUS,0,0
d,3,2026-06-25T21:00:00-05:00,TUR,USA,3,2
i,3,2026-06-26T14:00:00-05:00,NOR,FRA,1,4
i,3,2026-06-26T14:00:00-05:00,SEN,IRQ,5,0
h,3,2026-06-26T19:00:00-05:00,CPV,KSA,0,0
h,3,2026-06-26T19:00:00-05:00,URU,ESP,0,1
g,3,2026-06-26T22:00:00-05:00,BEL,NZL,5,1
g,3,2026-06-26T22:00:00-05:00,EGY,IRN,1,1
l,3,2026-06-27T16:00:00-05:00,CRO,GHA,2,1
l,3,2026-06-27T16:00:00-05:00,PAN,ENG,0,2
k,3,2026-06-27T18:30:00-05:00,COL,POR,0,0
k,3,2026-06-27T18:30:00-05:00,COD,UZB,3,1
j,3,2026-06-27T21:00:00-05:00,ALG,AUT,3,3
j,3,2026-06-27T21:00:00-05:00,JOR,ARG,1,3
